Year,Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2017,25,Portland Trail Blazers,1-1,1-1,2-0,1-1,1-1,1-1,2-2,3-1,0-2,0-4,1-2,1-1,0-3,4-0,2-1,2-0,0-2,3-1,1-3,1-1,3-1,1-1,1-1,3-1,,2-1,2-2,0-2,2-2,0-2
2017,26,Sacramento Kings,1-1,1-1,1-1,0-2,1-1,1-1,2-1,2-2,2-0,1-3,0-4,0-2,1-3,2-2,2-2,0-2,0-2,3-1,2-1,0-2,1-2,1-1,1-1,3-1,1-2,,0-4,2-0,1-3,0-2
2017,27,San Antonio Spurs,1-1,2-0,2-0,1-1,2-0,2-0,3-1,3-0,2-0,2-1,3-1,2-0,1-3,3-1,2-2,2-0,1-1,4-0,3-1,1-1,2-1,1-1,2-0,2-1,2-2,4-0,,2-0,2-2,2-0
2017,28,Toronto Raptors,1-2,3-1,4-0,1-2,2-2,1-3,2-0,2-0,3-1,0-2,1-1,2-1,1-1,2-0,1-1,3-1,3-1,1-1,2-0,4-0,1-1,2-2,3-1,0-2,2-0,0-2,0-2,,2-0,2-1
2017,29,Utah Jazz,2-0,0-2,2-0,0-2,1-1,1-1,3-1,2-2,2-0,1-2,2-1,1-1,1-3,4-0,1-3,1-1,2-0,3-1,3-0,2-0,1-3,2-0,2-0,3-0,2-2,3-1,2-2,0-2,,2-0
2017,30,Washington Wizards,3-1,2-2,4-0,3-1,3-1,1-2,0-2,2-0,2-1,1-1,0-2,3-1,1-1,2-0,1-1,0-4,3-1,1-1,2-0,4-0,1-1,2-2,1-2,2-0,2-0,2-0,0-2,1-2,0-2,
-1,Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2016,1,Atlanta Hawks,,3-1,2-1,4-0,3-1,0-3,2-0,2-0,3-1,0-2,2-0,2-2,1-1,2-0,2-0,1-3,1-2,0-2,2-0,2-2,1-1,2-2,3-0,1-1,2-0,1-1,0-2,1-3,1-1,2-2
2016,2,Boston Celtics,1-3,,2-2,2-1,2-1,1-2,0-2,2-0,2-2,1-1,1-1,1-3,1-1,1-1,1-1,3-0,3-1,1-1,2-0,3-1,1-1,2-2,4-0,2-0,1-1,2-0,0-2,1-3,1-1,4-0
2016,3,Brooklyn Nets,1-2,2-2,,1-2,0-4,1-3,0-2,2-0,1-3,0-2,2-0,1-3,0-2,0-2,0-2,1-3,0-3,0-2,0-2,2-2,1-1,0-4,2-2,2-0,0-2,1-1,0-2,0-4,1-1,0-3
2016,4,Chicago Bulls,0-4,1-2,2-1,,1-3,3-1,0-2,1-1,1-3,0-2,2-0,3-1,1-1,2-0,1-1,0-4,3-1,0-2,2-0,1-3,2-0,1-2,4-0,1-1,1-1,2-0,1-1,4-0,1-1,1-2
2016,5,Charlotte Hornets,1-3,1-2,4-0,3-1,,1-3,1-1,0-2,2-1,0-2,1-1,3-0,0-2,2-0,2-0,2-2,3-1,2-0,1-1,3-1,0-2,3-1,4-0,1-1,1-1,2-0,1-1,1-2,1-1,2-2
2016,6,Cleveland Cavaliers,3-0,2-1,3-1,1-3,3-1,,2-0,2-0,1-3,0-2,1-1,3-1,2-0,2-0,1-1,1-2,3-1,2-0,1-1,4-0,2-0,4-0,4-0,2-0,1-1,2-0,1-1,1-2,1-1,2-2
2016,7,Dallas Mavericks,0-2,2-0,2-0,2-0,1-1,0-2,,3-1,1-1,1-3,2-2,0-2,1-3,3-0,3-1,0-2,1-1,4-0,2-2,2-0,0-4,1-1,2-0,3-0,2-1,1-3,0-4,0-2,2-1,1-1
